link部分,link命名,质量,质心x,质心y,质心z,惯量ixx,惯量ixy,惯量ixz,惯量iyy,惯量iyz,惯量izz,,,,,,,,
,hip_yaw_l_joint,revolute,z,-90,250,132,150,,,,,,,,,,,,
,knee_pitch_l_joint,revolute,y,-5,145,106,400,,,,,,,,,,,,
,ankle_pitch_l_joint,revolute,y,-70,30,135,55,,,,,,,,,,,,
,ankle_roll_l_joint,revolute,x,-30,30,135,55,,,,,,,,,,,,
右腿,hip_pitch_r_joint,revolute,y,-180,165,160,235,,,,,,,,,,,,
,hip_roll_r_joint,revolute,x,-150,24,160,235,,,,,,,,,,,,
,hip_yaw_r_joint,revolute,z,-250,90,132,150,,,,,,,,,,,,
,knee_pitch_r_joint,revolute,y,-5,145,106,400,,,,,,,,,,,,
,ankle_pitch_r_joint,revolute,y,-70,30,135,55,,,,,,,,,,,,
,ankle_roll_r_joint,revolute,x,-30,30,135,55,,,,,,,,,,,,
腰,waist_yaw_joint,revolute,z,-185,160,90,91,,,,,,,,,,,,
,waist_roll_joint,revolute,x,-30,30,90,91,,,,,,,,,,,,
,waist_pitch_joint,revolute,y,-30,55,90,91,,,,,,,,,,,,
头,head_yaw_joint,revolute,z,-60,60,73,6.3,,,,,,,,,,,,
左臂,shoulder_pitch_l_joint,revolute,y,-170,170,88,91,,,,,,,,,,,,
,shoulder_roll_l_joint,revolute,x,-15,195,120,60,,,,,,,,,,,,
,shoulder_yaw_l_joint,revolute,z,-170,170,73,36,,,,,,,,,,,,
,elbow_pitch_l_joint,revolute,y,-150,15,73,60,,,,,,,,,,,,
,elbow_yaw_l_joint,revolute,z,-170,170,146,36,,,,,,,,,,,,
,wrist_pitch_l_joint,revolute,y,-80,80,72,36,,,,,,,,,,,,
,wrist_roll_l_joint,revolute,x,-80,80,72,36,,,,,,,,,,,,
,left_tcp_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
右臂,shoulder_pitch_r_joint,revolute,y,-170,170,88,91,,,,,,,,,,,,
,shoulder_roll_r_joint,revolute,x,-195,15,120,60,,,,,,,,,,,,
,shoulder_yaw_r_joint,revolute,z,-170,170,73,36,,,,,,,,,,,,
,elbow_pitch_r_joint,revolute,y,-150,15,73,60,,,,,,,,,,,,
,elbow_yaw_r_joint,revolute,z,-170,170,146,36,,,,,,,,,,,,
,wrist_pitch_r_joint,revolute,y,-80,80,72,36,,,,,,,,,,,,
,wrist_roll_r_joint,revolute,x,-80,80,72,36,,,,,,,,,,,,
,right_tcp_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
传感器,camera_head_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_front_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_front_left_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_back_left_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_back_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_back_right_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,RGB_head_front_right_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,radar_head_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,camera_body_front_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
,imu_joint,fixed,null,null,null,null,null,,,,,,,,,,,,
